id,dataset_name,test_accuracy,test_std,val_accuracy,val_std,train_accuracy,train_std
25,DodgerLoopDay,0.8062,0.0915,0.65,0.0677,0.5194,0.0572
26,DodgerLoopGame,0.975,0.0178,0.9187,0.0568,0.8919,0.0439
27,DodgerLoopWeekend,0.9969,0.006999999999999999,0.975,0.0559,0.955,0.054000000000000006
28,ECG200,0.9031,0.0639,0.865,0.0548,0.845,0.0597
29,ECG5000,0.9696,0.0038,0.9582,0.0056,0.9548,0.0075
30,ECGFiveDays,0.9937,0.004,1.0,0.0,0.9956,0.0058
31,EOGHorizontalSignal,0.9599,0.0105,0.7643,0.0477,0.6314,0.1079
32,EOGVerticalSignal,0.9339,0.0194,0.7233,0.0313,0.6072,0.0428
33,Earthquakes,0.7969,0.1324,0.8125,0.0126,0.7657,0.0249
34,ElectricDevices,0.9396,0.004,0.8748,0.0027,0.8687,0.0039
35,EthanolLevel,0.4219,0.1368,0.3994,0.1388,0.3571,0.1544
36,FaceAll,1.0,0.0,0.9918,0.0025,0.9883,0.006999999999999999
37,FaceFour,0.975,0.0392,0.9739,0.0238,0.9375,0.0758
38,FacesUCR,1.0,0.0,0.9945,0.0035,0.9934,0.0043
39,FiftyWords,0.9984,0.0021,0.7995,0.0183,0.7732,0.0498
40,Fish,0.9219,0.0475,0.8629,0.048,0.8171,0.0383
41,FordA,0.9601,0.0121,0.9364,0.0073,0.9339,0.0057
42,FordB,0.9262,0.0092,0.9151,0.0121,0.9105,0.008
43,FreezerRegularTrain,0.9878,0.0072,0.9994,0.0009,0.9974,0.0029
44,FreezerSmallTrain,0.9864,0.0045,0.9997,0.0007,0.9972,0.002
45,Fungi,0.9875,0.0204,1.0,0.0,0.9705,0.0207
46,GestureMidAirD1,0.8938,0.0232,0.6147,0.0366,0.618,0.0548
47,GestureMidAirD2,0.9031,0.0458,0.5353,0.0369,0.4943,0.0612
48,GestureMidAirD3,0.7641,0.08199999999999999,0.3765,0.0246,0.2959,0.048
49,GesturePebbleZ1,0.9969,0.0043,0.9311,0.0214,0.9208,0.0532
50,GesturePebbleZ2,0.9984,0.0035,0.9279,0.034,0.8883,0.0453
51,GunPoint,0.975,0.036000000000000004,0.995,0.0112,0.955,0.0411
52,GunPointAgeSpan,0.932,0.0556,0.9758,0.018000000000000002,0.9423,0.0215
53,GunPointMaleVersusFemale,0.9719,0.0216,0.9978,0.0049,0.9845,0.0061
54,GunPointOldVersusYoung,0.9688,0.01,0.967,0.0077,0.949,0.033
55,Ham,0.925,0.0704,0.8837,0.0368,0.8272,0.0686
56,HandOutlines,0.9044,0.0121,0.924,0.0157,0.8896,0.0235
57,Haptics,0.718,0.0537,0.5118,0.0345,0.527,0.0278
58,Herring,0.6875,0.0834,0.7769,0.0918,0.5228,0.0507
59,HouseTwenty,0.9906,0.013999999999999999,0.8938,0.0474,0.8931,0.0521
60,InlineSkate,0.8490000000000001,0.1152,0.7344,0.035,0.4828,0.2514
61,InsectEPGRegularTrain,0.9969,0.0043,0.895,0.0285,0.8748,0.044000000000000004
62,InsectEPGSmallTrain,0.9563,0.0251,0.8213,0.0381,0.8008,0.0307
63,InsectWingbeatSound,0.8664,0.0328,0.7403,0.0088,0.7114,0.0256
64,ItalyPowerDemand,0.9547,0.0177,0.9767,0.0068,0.964,0.0185
65,LargeKitchenAppliances,0.9271,0.0214,0.7959999999999999,0.048,0.7008,0.0477
66,Lightning2,0.7406,0.0559,0.8063,0.0823,0.7437,0.0749
67,Lightning7,0.9187,0.0461,0.7793,0.0393,0.735,0.1006
68,Mallat,0.9912,0.003,0.9913,0.006999999999999999,0.9874,0.0068
69,Meat,0.4406,0.2404,0.5167,0.2545,0.5083,0.2981
70,MedicalImages,0.9172,0.0195,0.843,0.015,0.8082,0.0297
71,MelbournePedestrian,0.0996,0.0006,0.1051,0.0002,0.1012,0.0012
72,MiddlePhalanxOutlineAgeGroup,0.7453,0.0306,0.7838,0.0064,0.7562,0.0419
73,MiddlePhalanxOutlineCorrect,0.8336,0.0208,0.8502,0.0288,0.7903,0.0257
74,MiddlePhalanxTW,0.6461,0.0273,0.6486,0.0377,0.6329,0.0295
75,MixedShapesRegularTrain,0.9988,0.0019,0.9443,0.0065,0.9361,0.008
76,MixedShapesSmallTrain,0.9902,0.0109,0.9342,0.0239,0.9264,0.0157
77,MoteStrain,0.9828,0.0109,0.9601,0.013999999999999999,0.9434,0.0222
78,NonInvasiveFetalECGThorax1,0.9821,0.0063,0.9287,0.0047,0.9245,0.0086
79,NonInvasiveFetalECGThorax2,0.9856,0.0049,0.9377,0.0073,0.9348,0.0038
80,OSULeaf,0.982,0.0245,0.7371,0.0682,0.6606,0.0348
81,OliveOil,0.2625,0.114,0.4667,0.1118,0.4167,0.0
82,PLAID,0.6081,0.0191,0.4855,0.0193,0.4714,0.0395
83,PhalangesOutlinesCorrect,0.8111,0.0249,0.823,0.0265,0.8021,0.0188
84,Phoneme,1.0,0.0,0.3883,0.0092,0.3596,0.0197
85,PickupGestureWiimoteZ,0.9875,0.027999999999999997,0.76,0.0548,0.76,0.0962
86,PigAirwayPressure,0.7,0.1537,0.0889,0.0241,0.0577,0.0291
87,PigArtPressure,0.7188,0.1625,0.1587,0.0159,0.0929,0.0175
88,PigCVP,0.8766,0.0925,0.0921,0.0207,0.0481,0.0228
89,Plane,0.9719,0.0131,1.0,0.0,0.9762,0.0168
90,PowerCons,0.9828,0.0102,0.9722,0.017,0.9639,0.0158
91,ProximalPhalanxOutlineAgeGroup,0.8102,0.0287,0.838,0.0259,0.8479,0.0296
92,ProximalPhalanxOutlineCorrect,0.8262,0.0373,0.8516,0.0531,0.8259,0.0415
93,ProximalPhalanxTW,0.7969,0.0199,0.7868,0.0108,0.7702,0.0123
94,RefrigerationDevices,0.9307,0.0346,0.6851,0.0174,0.5464,0.0827
95,Rock,0.9812,0.027999999999999997,0.8571,0.0875,0.7571,0.1083
96,ScreenType,0.7604,0.0629,0.5844,0.0213,0.4532,0.0327
97,SemgHandGenderCh2,0.991,0.0161,0.9653,0.0094,0.9415,0.0269
98,SemgHandMovementCh2,1.0,0.0,0.746,0.0235,0.6829999999999999,0.0612
99,SemgHandSubjectCh2,1.0,0.0,0.9508,0.0194,0.9326,0.018000000000000002
100,ShakeGestureWiimoteZ,0.9563,0.0474,0.86,0.0894,0.85,0.0612
101,ShapeletSim,0.8875,0.1766,0.67,0.1178,0.625,0.0919
102,ShapesAll,0.9881,0.0024,0.7865,0.0186,0.7776,0.0191
103,SmallKitchenAppliances,0.9125,0.0577,0.8063,0.0164,0.7274,0.0449
104,SmoothSubspace,0.9844,0.0096,0.9433,0.0508,0.9333,0.0635
105,SonyAIBORobotSurface1,0.9953,0.0043,0.9872,0.0091,0.9807,0.0122
106,SonyAIBORobotSurface2,0.993,0.0085,0.9891,0.0101,0.9886,0.0037
107,StarLightCurves,0.9742,0.0098,0.9740000000000001,0.003,0.972,0.0048
108,Strawberry,0.9391,0.0133,0.9768,0.0134,0.9589,0.0143
109,SwedishLeaf,0.9875,0.0053,0.9649,0.0122,0.9474,0.0212
110,Symbols,0.9984,0.0016,0.9906,0.0045,0.978,0.0154
111,SyntheticControl,0.9883,0.0048,0.995,0.0046,0.99,0.006999999999999999
112,ToeSegmentation1,0.9844,0.0166,0.9481,0.0203,0.9033,0.0418
113,ToeSegmentation2,0.9469,0.0559,0.9055,0.0317,0.7947,0.0823
114,Trace,0.9438,0.0831,0.93,0.0326,0.88,0.0542
115,TwoLeadECG,0.9756,0.0208,0.9992,0.0017,0.9956,0.0055
116,TwoPatterns,0.9994,0.0006,1.0,0.0,0.9988,0.0027
117,UMD,0.9906,0.013999999999999999,0.9944,0.0124,0.95,0.0362
118,UWaveGestureLibraryAll,0.9993,0.0016,0.975,0.0034,0.9737,0.0063
119,UWaveGestureLibraryX,0.9337,0.0228,0.852,0.0051,0.841,0.0134
120,UWaveGestureLibraryY,0.9223,0.0306,0.7786,0.0141,0.7711,0.0154
121,UWaveGestureLibraryZ,0.9059,0.0214,0.7777,0.0114,0.7713,0.01
122,Wafer,0.9991,0.0008,0.9993,0.0009,0.9987,0.0005
123,Wine,0.5219,0.036000000000000004,0.5787,0.052000000000000005,0.5134,0.0674
124,WordSynonyms,0.9949,0.0043,0.772,0.0433,0.7445,0.0086
125,Worms,0.9406,0.0301,0.6038,0.0823,0.5615,0.069
126,WormsTwoClass,0.8313,0.1518,0.7115,0.0804,0.6744,0.0402
127,Yoga,0.9683,0.0204,0.9393,0.0334,0.9249,0.0327
